Lap	RaceNumber	Time	Gap
25	13	1'35.327	1'10.964

26	99	1'32.097
26	93	1'32.087	0.290
26	26	1'31.898	1.560
26	46	1'32.549	18.381
26	44	1'32.612	23.180
26	38	1'33.002	25.584
26 	4	1'33.482	25.831
26	41	1'33.207	29.443
26	35	1'33.491	34.211
26	9	1'33.235	35.559
26	25	1'32.689	37.423
26	51	1'33.623	41.497
26	68	1'34.197	45.849
26	19	1'33.582	49.422
26	6	1'34.177	50.255
26	69	1'34.029	50.543
26	8	1'33.764	50.719
26	45	1'33.625	51.060
26	76	1'34.689	54.149
26	43	1'34.086	57.260
26	24	1'33.774	57.488
26	13	1'35.331	1'14.198

27	99	1'32.111
27	93	1'32.025	0.204
27	26	1'31.698	1.147
27	46	1'32.440	18.710
27	44	1'33.038	24.107
27	38	1'32.721	26.194
27	4	1'32.769	26.489
27	41	1'33.307	30.639
27	35	1'32.648	34.748
27	9	1'33.227	36.675
27	25	1'32.603	37.915
27	51	1'33.514	42.900
27	68	1'34.306	48.044
27	19	1'33.908	51.219
27	6	1'34.031	52.175
27	69	1'33.999	52.431
27	8	1'33.918	52.526
27	45	1'33.941	52.890
27	76	1'34.579	56.617
27	43	1'34.468	59.617
27	24	1'34.295	59.672
27	13	1'35.180	1'17.267

28	99	1'32.331
28	93	1'32.339	0.212
28	26	1'31.693	0.509
28	46	1'32.490	18.869
28	44	1'33.032	24.808
28	38	1'32.886	26.749
28	4	1'32.671	26.829
28	41	1'33.411	31.719
28	35	1'32.416	34.833
28	9	1'32.999	37.343
28	25	1'32.381	37.965
28	51	1'33.439	44.008
28	68	1'33.988	49.701
28	19	1'33.729	52.617
28	6	1'34.150	53.994
28	8	1'33.870	54.065
28	69	1'34.335	54.435
28	45	1'33.927	54.486
28	76	1'34.447	58.733
28	24	1'34.055	1'01.396
28	43	1'34.177	1'01.463
28	13	1'35.377	1'20.313

29	99	1'32.282
29	93	1'32.432	0.362
29	26	1'32.357	0.584
29	46	1'32.453	19.040
29	44	1'32.778	25.304
29	4	1'32.916	27.463
29	38	1'33.265	27.732
29	41	1'33.372	32.809
29	35	1'32.675	35.226
29	9	1'33.097	38.158
29	25	1'32.766	38.449
29	51	1'33.503	45.229
29	68	1'34.265	51.684
29	19	1'34.022	54.357
29	8	1'33.574	55.357
29	45	1'33.441	55.645
29	6	1'34.483	56.195
29	69	1'34.348	56.501
29	76	1'34.765	1'01.216
29	24	1'33.594	1'02.708
29	43	1'34.001	1'03.182
29	13	1'35.508	1'23.539

30	99	1'32.044
30	93	1'31.945	0.263
30	26	1'32.114	0.654
30	46	1'32.793	19.789
30	44	1'32.744	26.004
30	38	1'33.147	28.835
30	4	1'33.467	28.886
30	41	1'33.457	34.222
30	35	1'32.742	35.924
30	9	1'33.465	39.579
30	25	1'33.341	39.746
30	51	1'33.868	47.053
30	68	1'34.441	54.081
30	19	1'34.333	56.646
30	45	1'33.677	57.278
30	8	1'34.050	57.363
30	69	1'34.285	58.742
30	6	1'34.935	59.086
30	76	1'35.167	1'04.339
30	24	1'33.749	1'04.413
30	43	1'34.074	1'05.212
30	13	1'35.786	1'27.281
